"","Year","Count","outlying_precip_var","mean_precip_var","outlying_precip","mean_precip","interpolated","count_raw"
"68",1100,6,113.579475308642,104.082381687243,197.555555555556,306.019047619048,0,6
"69",1101,6,204.548611111111,138.211533131771,401.305555555556,424.084920634921,0,6
"70",1102,11,39.2685185185185,23.4616201699535,367.571428571429,398.883838383839,0,11
"71",1103,19,199.62962962963,128.962523206164,221.083333333333,257.17619047619,0,19
"72",1104,11,63.0509259259259,49.735064935065,274.942857142857,313.979148629149,0,11
"73",1105,14,25.8550925925926,17.4227135298564,271.085714285714,379.58089569161,0,14
"74",1106,23,150.321759259259,124.253220611916,168.285714285714,263.085921325052,0,23
"75",1107,2,89.0144510582009,84.2893518518518,192.427142857143,354.972222222222,0,2
"76",1108,13,27.7071428571429,14.1423517840184,216.568571428572,327.43956043956,0,13
"77",1109,12,67.2793650793651,69.5456716637272,260.714285714286,284.967063492064,0,12
