"","quant_cutoff","outlying_precip.x","quant_cutoff_inverse.x","cor_p_sig","outlying_precip.y","quant_cutoff_inverse.y","outlying_precip_inverse"
"53",53,0.000106181684974674,47,1,0.147874786838611,47,-0.147874786838611
"54",54,0.000178045387205069,46,1,0.143052976026273,46,-0.143052976026273
"55",55,0.000273831558084557,45,1,0.138918397896082,45,-0.138918397896082
"56",56,0.000398358086294198,44,1,0.135223148477395,44,-0.135223148477395
"57",57,0.000639733647509881,43,1,0.130416341204083,43,-0.130416341204083
"58",58,0.000988667768295692,42,1,0.125852571071473,42,-0.125852571071473
"59",59,0.00155225752150688,41,1,0.120960512941989,41,-0.120960512941989
"60",60,0.00242881085773953,40,1,0.115988182181911,40,-0.115988182181911
"61",61,0.00368181777611802,39,1,0.111067419242836,39,-0.111067419242836
"62",62,0.00513102214132118,38,1,0.107055667547817,38,-0.107055667547817
"63",63,0.00744352578077357,37,1,0.102399970644412,37,-0.102399970644412
"64",64,0.0106783943518082,36,1,0.0977065937558603,36,-0.0977065937558603
"65",65,0.0144849333459033,35,1,0.0935902696361888,35,-0.0935902696361888
"66",66,0.0184890100586169,34,1,0.0901850772436416,34,-0.0901850772436416
"67",67,0.0228836694951196,33,1,0.0871225630523094,33,-0.0871225630523094
"68",68,0.0300526146791907,32,1,0.0830792263906054,32,-0.0830792263906054
"69",69,0.037708026449947,31,1,0.0795910229207669,31,-0.0795910229207669
"70",70,0.0458681228907106,30,1,0.0764822404033731,30,-0.0764822404033731
"92",92,0.0348637391010265,8,1,-0.0808097512230164,8,0.0808097512230164
"93",93,0.00884492192588358,7,1,-0.100179521151714,7,0.100179521151714
"94",94,0.000885284999153996,6,1,-0.127114290324605,6,0.127114290324605
"95",95,3.74087575635857e-05,5,1,-0.157372789159678,5,0.157372789159678
"96",96,5.13300537462893e-07,4,1,-0.190854484133659,4,0.190854484133659
"97",97,2.04414652314733e-09,3,1,-0.227584431786192,3,0.227584431786192
"98",98,8.05199632714312e-13,2,1,-0.26958325780464,2,0.26958325780464
"99",99,4.02088589561299e-21,1,1,-0.350308312646738,1,0.350308312646738
